Date,Ltp
8/6/2020,144
8/9/2020,143
8/10/2020,155
8/11/2020,151
8/12/2020,147
8/13/2020,148
8/16/2020,142
8/17/2020,144
8/18/2020,144
8/19/2020,141
8/20/2020,143
8/23/2020,145
8/24/2020,145
8/25/2020,144
8/26/2020,147
8/27/2020,145
8/30/2020,143
8/31/2020,144
9/2/2020,147
9/3/2020,146
9/6/2020,143
9/7/2020,145
9/8/2020,143
9/9/2020,145
9/10/2020,145
9/13/2020,143
9/14/2020,143
9/15/2020,143
9/16/2020,144
9/17/2020,153
9/20/2020,156
9/21/2020,153
9/22/2020,149
9/23/2020,153
9/24/2020,151
9/27/2020,154
9/28/2020,154
9/29/2020,158
9/30/2020,167
10/1/2020,177
10/4/2020,171
10/5/2020,175
10/6/2020,175
10/7/2020,192
10/8/2020,190
10/11/2020,189
10/12/2020,189
10/13/2020,188
10/14/2020,185
10/15/2020,184
10/18/2020,179
10/19/2020,179
10/20/2020,182
10/21/2020,190
10/22/2020,187
10/28/2020,191
10/29/2020,192
11/1/2020,188
11/2/2020,187
11/3/2020,184
11/4/2020,184
11/5/2020,186
11/8/2020,187
11/9/2020,190
11/10/2020,186
11/11/2020,186
11/12/2020,183
11/18/2020,182
11/19/2020,195
11/22/2020,195
11/23/2020,191
11/24/2020,202
11/25/2020,206
11/26/2020,195
11/29/2020,203
11/30/2020,197
12/1/2020,193
12/2/2020,193
12/3/2020,189
12/6/2020,176
12/7/2020,180
12/8/2020,178
12/9/2020,179
12/10/2020,177
12/13/2020,180
12/14/2020,185
12/15/2020,183
12/16/2020,182
12/17/2020,180
12/20/2020,172
12/21/2020,172
12/22/2020,178
12/23/2020,177
12/24/2020,173
12/27/2020,174
12/28/2020,174
12/29/2020,174
12/30/2020,174
12/31/2020,175
1/3/2021,177
1/4/2021,175
1/5/2021,179
1/6/2021,180
1/7/2021,183
1/10/2021,191
1/11/2021,196
1/12/2021,203
1/13/2021,201
1/17/2021,220
1/18/2021,212
1/19/2021,210
1/20/2021,215
1/21/2021,216
1/24/2021,216
1/25/2021,212
1/26/2021,208
1/27/2021,212
1/28/2021,207
1/31/2021,201
2/1/2021,205
2/2/2021,206
2/3/2021,208
2/4/2021,207
2/7/2021,207
2/8/2021,215
2/9/2021,215
2/10/2021,214
2/11/2021,217
2/14/2021,215
2/15/2021,225
2/16/2021,220
2/17/2021,221
2/18/2021,227
2/21/2021,223
2/22/2021,220
2/23/2021,218
2/24/2021,219
2/25/2021,217
2/28/2021,209
3/2/2021,208
3/3/2021,207
3/4/2021,209
3/7/2021,209
3/9/2021,206
3/10/2021,206
3/14/2021,201
3/15/2021,203
3/16/2021,204
3/17/2021,204
3/18/2021,206
3/21/2021,210
3/22/2021,212
3/23/2021,201
3/24/2021,204
3/25/2021,201
3/29/2021,200
3/30/2021,201
3/31/2021,202
4/1/2021,210
4/4/2021,212
4/5/2021,212
4/6/2021,215
4/7/2021,218
4/8/2021,231
4/12/2021,230
4/13/2021,237
4/15/2021,247
4/18/2021,236
4/19/2021,235
4/20/2021,237
4/21/2021,232
4/22/2021,233
4/25/2021,226
4/26/2021,220
4/27/2021,227
4/28/2021,231
4/29/2021,239
5/2/2021,244
5/3/2021,239
5/4/2021,238
5/5/2021,237
5/6/2021,236
5/9/2021,236
5/10/2021,237
5/11/2021,237
5/12/2021,235
5/13/2021,258
5/16/2021,264
5/17/2021,262
5/18/2021,284
5/19/2021,275
5/20/2021,282
5/23/2021,310
5/24/2021,307
5/25/2021,299
5/27/2021,310
5/30/2021,340
5/31/2021,333
6/1/2021,337
6/2/2021,364
6/3/2021,368
6/6/2021,376
6/7/2021,410
6/8/2021,451
6/9/2021,427
6/10/2021,433
6/13/2021,473
6/14/2021,462
6/15/2021,439
6/16/2021,418
6/17/2021,424
6/20/2021,410
6/21/2021,388
6/22/2021,421
6/23/2021,408
6/24/2021,397
6/27/2021,395
6/28/2021,384
6/29/2021,374
